"Slug","Title","Description","Featured Hubs","All Hubs","Index","Image","Image:alt"
"central-functions","Central Functions","Get to know what its like to be part of our Central Functions teams at hx","finance-hub,legal-infosec-hub,people-hub","finance-hub,legal-infosec-hub,people-hub,talent-hub","3","https://framerusercontent.com/images/jAu41qCjSiRyjtTQiakvrGdB3g.png",""
"revenue","Revenue","Get to know what its like to be part of our revenue teams at hx","sales-partnerships-hub,marketing-gtm-engineering-hub,client-services-hub","client-services-hub,customer-success-hub,pricing-innovation-hub,field-engineering-hub,marketing-gtm-engineering-hub,sales-partnerships-hub","2","https://framerusercontent.com/images/6mY7QON1RD0PIXtpF92QLA58Q.png",""
"technology","Technology","Get to know what its like to be part of our technology teams at hx","engineering-hub,product-hub,ai-hub","engineering-hub,ai-hub,product-hub","1","https://framerusercontent.com/images/vCAblh6ABeK02rMmWtOk2G8r8Q.png",""
